,Company,Date,Price,Share Total,Type,Price_m
387,EFG International,13.06.2017,10326.0,1790,Sale,0.0
388,Investis Holding SA,13.06.2017,197183.0,3314,Purchase,0.2
389,LEM Holding SA,13.06.2017,75226.0,63,Purchase,0.1
390,Sulzer AG,13.06.2017,111300.0,1000,Purchase,0.1
391,nebag ag,13.06.2017,144454.0,13113,Sale,0.1
392,Castle Private Equity AG,12.06.2017,279.0,3993,Sale,0.0
393,Compagnie Financière Richemont SA,12.06.2017,2762913.0,48126,Sale,2.8
394,Investis Holding SA,12.06.2017,25882.0,435,Purchase,0.0
395,LEM Holding SA,12.06.2017,116907.0,100,Purchase,0.1
396,Tornos Holding AG,12.06.2017,20880.0,8000,Purchase,0.0
397,Burkhalter Holding AG,09.06.2017,1350000.0,10000,Sale,1.4
398,Burkhalter Holding AG,09.06.2017,1350000.0,10000,Purchase,1.4
399,Huber+Suhner AG,09.06.2017,70000.0,1000,Sale,0.1
400,Kühne + Nagel International AG,09.06.2017,1049580.0,6638,Sale,1.0
401,nebag ag,09.06.2017,16500.0,1500,Sale,0.0
402,Chocoladefabriken Lindt & Sprüngli AG,08.06.2017,228150.0,39,Sale,0.2
403,Datacolor AG,08.06.2017,43700.0,53,Sale,0.0
404,Investis Holding SA,08.06.2017,249781.0,4198,Purchase,0.2
405,LEM Holding SA,08.06.2017,117725.0,100,Purchase,0.1
406,nebag ag,08.06.2017,6985.0,635,Sale,0.0
407,Altin AG,07.06.2017,23275.0,1868,Sale,0.0
408,Chocoladefabriken Lindt & Sprüngli AG,07.06.2017,2351870.0,401,Sale,2.4
409,Dottikon ES Holding AG,07.06.2017,10485.0,15,Sale,0.0
410,Kühne + Nagel International AG,07.06.2017,395000.0,2500,Sale,0.4
411,Altin AG,06.06.2017,2504.0,200,Sale,0.0
412,Burkhalter Holding AG,06.06.2017,273585.0,2002,Sale,0.3
413,Castle Private Equity AG,06.06.2017,87.0,1750,Sale,0.0
414,Chocoladefabriken Lindt & Sprüngli AG,06.06.2017,118600.0,20,Sale,0.1
415,Dottikon ES Holding AG,06.06.2017,73035.0,105,Sale,0.1
416,LEM Holding SA,06.06.2017,119988.0,100,Purchase,0.1
417,Roche Holding AG,06.06.2017,186503.0,729,Purchase,0.2
418,Walliser Kantonalbank,06.06.2017,18239.0,203,Sale,0.0
419,ABB Ltd,02.06.2017,148260.0,6000,Sale,0.1
420,Castle Private Equity AG,02.06.2017,6600.0,110000,Sale,0.0
421,LEM Holding SA,02.06.2017,103223.0,86,Purchase,0.1
422,SGS SA,02.06.2017,60503.0,20000,Sale,0.1
423,Walliser Kantonalbank,02.06.2017,539.0,6,Sale,0.0
424,nebag ag,02.06.2017,24607.0,2237,Sale,0.0
425,Banque Cantonale Vaudoise,01.06.2017,209199.0,300,Sale,0.2
426,Calida Holding AG,01.06.2017,148395.0,4049,Sale,0.1
427,Dätwyler Holding AG,01.06.2017,182600.0,1100,Sale,0.2
428,Givaudan SA,01.06.2017,1810000.0,905,Sale,1.8
429,Sonova Holding AG,01.06.2017,18001.0,165,Purchase,0.0
430,St. Galler Kantonalbank,01.06.2017,3938.0,20,Purchase,0.0
431,Sunrise Communications Group AG,01.06.2017,67666.0,1,Purchase,0.1
432,Vontobel Holding AG,01.06.2017,243800.0,4000,Sale,0.2
433,APG SGA SA,31.05.2017,59946.0,124,Sale,0.1
434,Altin AG,31.05.2017,19229.0,1938,Purchase,0.0
435,Burkhalter Holding AG,31.05.2017,563739.0,4000,Sale,0.6
436,Credit Suisse Group AG,31.05.2017,655862.0,60728,Purchase,0.7
437,Interroll Holding AG,31.05.2017,832810.0,670,Sale,0.8
438,Luzerner Kantonalbank,31.05.2017,2189.0,5,Purchase,0.0
439,Mikron Holding AG,31.05.2017,32300.0,5000,Sale,0.0
440,Sunrise Communications Group AG,31.05.2017,469125.0,5806,Sale,0.5
441,Adval Tech Holding AG,30.05.2017,11076.0,39,Sale,0.0
442,Altin AG,30.05.2017,89070.0,8793,Purchase,0.1
443,Chocoladefabriken Lindt & Sprüngli AG,30.05.2017,116600.0,20,Sale,0.1
444,Compagnie Financière Tradition S.A.,30.05.2017,13354.0,133,Purchase,0.0
445,Compagnie Financière Tradition S.A.,30.05.2017,19579749.0,194998,Purchase,19.6
446,Compagnie Financière Tradition S.A.,30.05.2017,217186.0,2163,Purchase,0.2
447,Compagnie Financière Tradition S.A.,30.05.2017,37553.0,374,Purchase,0.0
448,Compagnie Financière Tradition S.A.,30.05.2017,24399.0,243,Purchase,0.0
449,Credit Suisse Group AG,30.05.2017,8359.0,18576,Sale,0.0
450,Credit Suisse Group AG,30.05.2017,32119.0,2974,Purchase,0.0
451,EFG International,30.05.2017,30075.0,5000,Sale,0.0
452,Sonova Holding AG,30.05.2017,283414.0,4418,Sale,0.3
453,Sunrise Communications Group AG,30.05.2017,132999.0,1,Purchase,0.1
454,Sunrise Communications Group AG,30.05.2017,51494.0,1,Purchase,0.1
455,VZ Holding AG,30.05.2017,2792.0,16,Sale,0.0
456,Adval Tech Holding AG,29.05.2017,62496.0,217,Sale,0.1
457,Compagnie Financière Richemont SA,29.05.2017,81137.0,1000,Purchase,0.1
458,Credit Suisse Group AG,29.05.2017,10648.0,986,Purchase,0.0
459,Sonova Holding AG,29.05.2017,44712.0,697,Sale,0.0
460,Sunrise Communications Group AG,29.05.2017,389187.0,4830,Purchase,0.4
461,Swiss Re AG,29.05.2017,20988.0,1,Purchase,0.0
462,Swiss Re AG,29.05.2017,20988.0,1,Purchase,0.0
463,VZ Holding AG,29.05.2017,213044.0,1218,Sale,0.2
464,nebag ag,29.05.2017,11409.0,1042,Sale,0.0
465,Credit Suisse Group AG,27.05.2017,129708.0,12010,Purchase,0.1
466,Credit Suisse Group AG,27.05.2017,29829.0,2762,Purchase,0.0
467,Alpiq Holding AG,26.05.2017,8200.0,100,Purchase,0.0
468,COLTENE Holding AG,26.05.2017,19210.0,202,Sale,0.0
469,Chocoladefabriken Lindt & Sprüngli AG,26.05.2017,118800.0,20,Sale,0.1
470,Credit Suisse Group AG,26.05.2017,801036.0,74170,Purchase,0.8
471,Credit Suisse Group AG,26.05.2017,51537.0,4772,Purchase,0.1
472,GAM Holding AG,26.05.2017,159831.0,11870,Purchase,0.2
473,SGS SA,26.05.2017,70770.0,21000,Sale,0.1
474,Ypsomed Holding AG,26.05.2017,214000.0,1000,Sale,0.2
475,Credit Suisse Group AG,25.05.2017,17560.0,1626,Purchase,0.0
476,Adval Tech Holding AG,24.05.2017,22121.0,76,Sale,0.0
477,BB Biotech AG,24.05.2017,1997210.0,36000,Purchase,2.0
478,COLTENE Holding AG,24.05.2017,9319.0,98,Sale,0.0
479,Credit Suisse Group AG,24.05.2017,384480.0,35600,Purchase,0.4
480,Credit Suisse Group AG,24.05.2017,169408.0,15686,Purchase,0.2
481,Credit Suisse Group AG,24.05.2017,28296.0,2620,Purchase,0.0
482,Givaudan SA,24.05.2017,2090955.0,1044,Sale,2.1
483,HBM Healthcare Investments AG,24.05.2017,80397.0,700,Purchase,0.1
484,Komax Holding AG,24.05.2017,55000.0,200,Sale,0.1
485,Sonova Holding AG,24.05.2017,310000.0,6200,Sale,0.3
486,Syngenta AG,24.05.2017,6124801.0,13309,Sale,6.1
487,Syngenta AG,24.05.2017,3817359.0,8295,Sale,3.8
488,Syngenta AG,24.05.2017,1331358.0,2893,Sale,1.3
489,Syngenta AG,24.05.2017,888186.0,1930,Sale,0.9
490,Syngenta AG,24.05.2017,465262.0,1011,Sale,0.5
491,Syngenta AG,24.05.2017,255411.0,555,Sale,0.3
492,Syngenta AG,24.05.2017,139900.0,304,Sale,0.1
493,Valiant Holding AG,24.05.2017,13878.0,121,Purchase,0.0
494,dormakaba Holding AG,24.05.2017,31139.0,37,Purchase,0.0
495,dormakaba Holding AG,24.05.2017,18515.0,22,Purchase,0.0
496,u-blox Holding AG,24.05.2017,402000.0,2000,Sale,0.4
497,Chocoladefabriken Lindt & Sprüngli AG,23.05.2017,187200.0,32,Sale,0.2
499,Komax Holding AG,23.05.2017,54451.0,200,Sale,0.1
500,Sulzer AG,23.05.2017,94474.0,835,Purchase,0.1
501,Autoneum Holding AG,22.05.2017,93139.0,398,Purchase,0.1
502,Basler Kantonalbank,22.05.2017,966.0,14,Purchase,0.0
503,Chocoladefabriken Lindt & Sprüngli AG,22.05.2017,1168000.0,200,Sale,1.2
504,Chocoladefabriken Lindt & Sprüngli AG,22.05.2017,549900.0,94,Sale,0.5
505,Credit Suisse Group AG,22.05.2017,394437.0,36522,Purchase,0.4
506,Credit Suisse Group AG,22.05.2017,184291.0,17064,Purchase,0.2
507,Credit Suisse Group AG,22.05.2017,64497.0,5972,Purchase,0.1
508,SGS SA,22.05.2017,136341.0,33774,Sale,0.1
509,SGS SA,22.05.2017,22190.0,7000,Sale,0.0
510,Sonova Holding AG,22.05.2017,372775.0,6200,Sale,0.4
511,Swiss Prime Site AG,22.05.2017,1109461.0,12500,Sale,1.1
512,VAT Group AG,22.05.2017,4230384.0,34116,Sale,4.2
513,Burkhalter Holding AG,19.05.2017,186985.0,1240,Sale,0.2
514,Chocoladefabriken Lindt & Sprüngli AG,19.05.2017,1305780.0,224,Sale,1.3
515,Compagnie Financière Richemont SA,19.05.2017,164608.0,6667,Sale,0.2
516,Credit Suisse Group AG,19.05.2017,278337.0,25772,Purchase,0.3
517,Credit Suisse Group AG,19.05.2017,73483.0,6804,Purchase,0.1
518,Galenica Santé AG,19.05.2017,11162.0,250,Purchase,0.0
519,Investis Holding SA,19.05.2017,41077.0,693,Purchase,0.0
520,ORIOR AG,19.05.2017,157491.0,2100,Purchase,0.2
521,nebag ag,19.05.2017,63315.0,6030,Purchase,0.1
522,Autoneum Holding AG,18.05.2017,21503.0,91,Purchase,0.0
523,Investis Holding SA,18.05.2017,8092.0,136,Purchase,0.0
525,Schaffner Holding AG,18.05.2017,6800.0,100,Sale,0.0
526,ams AG,18.05.2017,23845.0,400,Sale,0.0
527,Autoneum Holding AG,17.05.2017,104228.0,437,Purchase,0.1
528,Burkhalter Holding AG,17.05.2017,9952.0,66,Sale,0.0
529,Comet Holding AG,17.05.2017,305547.0,2490,Sale,0.3
530,ORIOR AG,17.05.2017,231750.0,3090,Purchase,0.2
531,Swiss Re AG,17.05.2017,91505.0,1027,Sale,0.1
532,Bobst Group SA,16.05.2017,325558.0,3200,Sale,0.3
533,Chocoladefabriken Lindt & Sprüngli AG,16.05.2017,2960615.0,497,Sale,3.0
534,Hügli Holding AG,16.05.2017,84945.0,105,Sale,0.1
535,Leonteq AG,16.05.2017,45023.0,1000,Sale,0.0
536,Logitech International S.A.,16.05.2017,209147.0,5961,Purchase,0.2
537,Logitech International S.A.,16.05.2017,62803.0,1790,Purchase,0.1
538,RELIEF THERAPEUTICS Holding AG,16.05.2017,30000.0,3000000,Sale,0.0
539,SGS SA,16.05.2017,51676.0,17000,Sale,0.1
540,Autoneum Holding AG,15.05.2017,68525.0,279,Purchase,0.1
541,Burkhalter Holding AG,15.05.2017,425538.0,2800,Sale,0.4
542,Nestlé AG,15.05.2017,2241250.0,27500,Sale,2.2
543,Schaffner Holding AG,15.05.2017,43916.0,660,Sale,0.0
544,VZ Holding AG,15.05.2017,32602.0,213,Sale,0.0
545,ams AG,15.05.2017,1514200.0,1340000,Sale,1.5
546,nebag ag,15.05.2017,5076.0,470,Purchase,0.0
547,Berner Kantonalbank,12.05.2017,19100.0,100,Sale,0.0
548,Credit Suisse Group AG,12.05.2017,71358.0,5278,Purchase,0.1
549,Credit Suisse Group AG,12.05.2017,22632.0,1674,Purchase,0.0
550,Datacolor AG,12.05.2017,710000.0,1000,Purchase,0.7
551,Roche Holding AG,12.05.2017,500004.0,1,Purchase,0.5
552,Roche Holding AG,12.05.2017,199980.0,1,Purchase,0.2
553,Roche Holding AG,12.05.2017,150000.0,1,Purchase,0.2
554,SFS Group AG,12.05.2017,32790.0,326,Purchase,0.0
555,VZ Holding AG,12.05.2017,131076.0,1324,Sale,0.1
556,mobilezone holding ag,12.05.2017,222660.0,14553,Sale,0.2
557,nebag ag,12.05.2017,8078.0,748,Purchase,0.0
558,Barry Callebaut AG,11.05.2017,283800.0,200,Sale,0.3
559,Burkhalter Holding AG,11.05.2017,466952.0,31600,Sale,0.5
560,Cicor Technologies Ltd.,11.05.2017,10950.0,250,Purchase,0.0
561,Credit Suisse Group AG,11.05.2017,57339.0,4155,Purchase,0.1
562,Novartis AG,11.05.2017,301720.0,3800,Sale,0.3
563,Adecco Group AG,10.05.2017,420688.0,5510,Sale,0.4
564,Burkhalter Holding AG,10.05.2017,542355.0,3600,Sale,0.5
565,Chocoladefabriken Lindt & Sprüngli AG,10.05.2017,1123260.0,194,Sale,1.1
566,Credit Suisse Group AG,10.05.2017,117853.0,8497,Purchase,0.1
567,Credit Suisse Group AG,10.05.2017,49377.0,3560,Purchase,0.0
568,Credit Suisse Group AG,10.05.2017,18363.0,1324,Purchase,0.0
569,Datacolor AG,10.05.2017,292320.0,406,Sale,0.3
570,Roche Holding AG,10.05.2017,2186691.0,8190,Sale,2.2
571,ams AG,10.05.2017,2431050.0,38000,Sale,2.4
572,Banque Cantonale Vaudoise,09.05.2017,80583.0,115,Sale,0.1
573,Barry Callebaut AG,09.05.2017,420882.0,300,Sale,0.4
574,Burkhalter Holding AG,09.05.2017,1459052.0,9650,Sale,1.5
575,Chocoladefabriken Lindt & Sprüngli AG,09.05.2017,6053250.0,1050,Sale,6.1
576,Geberit AG,09.05.2017,1240620.0,2697,Sale,1.2
577,Investis Holding SA,09.05.2017,84511.0,1458,Purchase,0.1
578,SGS SA,09.05.2017,49636.0,18182,Sale,0.0
579,Schindler Holding AG,09.05.2017,806800.0,4000,Sale,0.8
580,UBS Group AG,09.05.2017,449448.0,26408,Sale,0.4
581,Burkhalter Holding AG,08.05.2017,203472.0,1350,Sale,0.2
582,Calida Holding AG,08.05.2017,66800.0,2000,Sale,0.1
583,Chocoladefabriken Lindt & Sprüngli AG,08.05.2017,1720200.0,300,Sale,1.7
584,Credit Suisse Group AG,08.05.2017,10081.0,708,Purchase,0.0
585,GAM Holding AG,08.05.2017,33243.0,2500,Purchase,0.0
586,Geberit AG,08.05.2017,184959.0,656,Purchase,0.2
587,Kudelski S.A.,08.05.2017,1772388.0,100000,Sale,1.8
588,VZ Holding AG,08.05.2017,32591.0,203,Sale,0.0
589,Valiant Holding AG,08.05.2017,41876.0,361,Sale,0.0
590,nebag ag,08.05.2017,32700.0,3000,Sale,0.0
591,Credit Suisse Group AG,06.05.2017,64437.0,4503,Purchase,0.1
592,Credit Suisse Group AG,06.05.2017,61990.0,4332,Purchase,0.1
593,Credit Suisse Group AG,06.05.2017,10088.0,705,Purchase,0.0
594,Autoneum Holding AG,05.05.2017,7500.0,2000,Sale,0.0
595,Chocoladefabriken Lindt & Sprüngli AG,05.05.2017,1710422.0,300,Sale,1.7
596,Chocoladefabriken Lindt & Sprüngli AG,05.05.2017,1139425.0,200,Sale,1.1
597,Datacolor AG,05.05.2017,36500.0,50,Sale,0.0
598,Investis Holding SA,05.05.2017,28750.0,500,Purchase,0.0
599,Lonza Group AG,05.05.2017,43013.0,3271,Sale,0.0
600,Lonza Group AG,05.05.2017,17680.0,130,Purchase,0.0
601,VZ Holding AG,05.05.2017,3692.0,23,Sale,0.0
602,Autoneum Holding AG,04.05.2017,125000.0,20000,Sale,0.1
603,COLTENE Holding AG,04.05.2017,26040.0,300,Sale,0.0
604,Datacolor AG,04.05.2017,36500.0,50,Sale,0.0
605,Hügli Holding AG,04.05.2017,20501.0,26,Sale,0.0
606,Lonza Group AG,04.05.2017,538244.0,38446,Sale,0.5
607,Lonza Group AG,04.05.2017,108800.0,800,Purchase,0.1
608,Newron Pharmaceuticals S.p.A.,04.05.2017,12427.0,1750,Purchase,0.0
609,"OC Oerlikon Corporation AG, Pfäffikon",04.05.2017,133540.0,10515,Sale,0.1
610,SCHMOLZ+BICKENBACH AG,04.05.2017,3251745.0,3496500,Sale,3.3
611,ams AG,04.05.2017,379500.0,6000,Sale,0.4
612,Altin AG,03.05.2017,60851.0,2526,Purchase,0.1
613,Berner Kantonalbank,03.05.2017,28530.0,150,Sale,0.0
614,Burkhalter Holding AG,03.05.2017,319086.0,2120,Sale,0.3
615,Chocoladefabriken Lindt & Sprüngli AG,03.05.2017,351540.0,62,Sale,0.4
616,Hügli Holding AG,03.05.2017,24374.0,31,Sale,0.0
617,Kühne + Nagel International AG,03.05.2017,45981.0,1982,Sale,0.0
618,Lonza Group AG,03.05.2017,65608.0,4448,Sale,0.1
619,Lonza Group AG,03.05.2017,580176.0,4266,Purchase,0.6
620,Lonza Group AG,03.05.2017,58752.0,432,Purchase,0.1
621,ORIOR AG,03.05.2017,5925.0,79,Purchase,0.0
622,Roche Holding AG,03.05.2017,1448679.0,5476,Sale,1.4
623,SGS SA,03.05.2017,22438.0,7632,Sale,0.0
624,VZ Holding AG,03.05.2017,35606.0,226,Sale,0.0
625,Bucher Industries AG,02.05.2017,316839.0,1000,Sale,0.3
626,Burkhalter Holding AG,02.05.2017,929284.0,6148,Sale,0.9
627,Chocoladefabriken Lindt & Sprüngli AG,02.05.2017,1605630.0,292,Sale,1.6
628,Feintool International Holding AG,02.05.2017,130.0,2159,Sale,0.0
629,Hochdorf Holding AG,02.05.2017,55132.0,179,Sale,0.1
630,Huber+Suhner AG,02.05.2017,78390.0,1170,Sale,0.1
631,Hügli Holding AG,02.05.2017,18001.0,23,Sale,0.0
632,INFICON Holding AG,02.05.2017,53000.0,100,Sale,0.1
633,Logitech International S.A.,02.05.2017,2359626.0,69467,Sale,2.4
634,Lonza Group AG,02.05.2017,119194.0,7600,Sale,0.1
635,Lonza Group AG,02.05.2017,46.0,3,Sale,0.0
636,Lonza Group AG,02.05.2017,280976.0,2066,Purchase,0.3
637,Lonza Group AG,02.05.2017,178160.0,1310,Purchase,0.2
638,Lonza Group AG,02.05.2017,136000.0,1000,Purchase,0.1
639,Lonza Group AG,02.05.2017,87312.0,642,Purchase,0.1
640,Luzerner Kantonalbank,02.05.2017,34520.0,80,Sale,0.0
641,Roche Holding AG,02.05.2017,2849012.0,10876,Sale,2.8
642,SGS SA,02.05.2017,24885.0,9759,Sale,0.0
643,UBS Group AG,02.05.2017,1440825.0,84157,Sale,1.4
644,Warteck Invest AG,02.05.2017,5853.0,3,Purchase,0.0
645,nebag ag,02.05.2017,32400.0,3000,Sale,0.0
646,Autoneum Holding AG,28.04.2017,351307.0,1199,Sale,0.4
647,Cham Paper Group Holding AG,28.04.2017,44631.0,125,Purchase,0.0
648,INFICON Holding AG,28.04.2017,52500.0,100,Sale,0.1
649,Schindler Holding AG,28.04.2017,177750.0,1500,Sale,0.2
650,Straumann Holding AG,28.04.2017,360990.0,1000,Purchase,0.4
651,Straumann Holding AG,28.04.2017,252693.0,700,Purchase,0.3
652,Straumann Holding AG,28.04.2017,108297.0,300,Purchase,0.1
653,The Swatch Group AG,28.04.2017,71733.0,925,Sale,0.1
654,Vontobel Holding AG,28.04.2017,250939.0,4280,Sale,0.3
655,nebag ag,28.04.2017,10750.0,1000,Sale,0.0
656,Chocoladefabriken Lindt & Sprüngli AG,27.04.2017,1130105.0,200,Sale,1.1
657,Feintool International Holding AG,27.04.2017,270905.0,2124,Sale,0.3
658,Hochdorf Holding AG,27.04.2017,21361.0,70,Sale,0.0
659,Leonteq AG,27.04.2017,137191.0,3000,Sale,0.1
660,Logitech International S.A.,27.04.2017,1623179.0,50000,Sale,1.6
661,Novartis AG,27.04.2017,999400.0,13150,Sale,1.0
662,SGS SA,27.04.2017,248000.0,100000,Sale,0.2
663,SGS SA,27.04.2017,19250.0,7000,Sale,0.0
664,dormakaba Holding AG,27.04.2017,211500.0,250,Sale,0.2
665,Airesis SA,26.04.2017,5206.0,4450,Purchase,0.0
666,Banque Cantonale de Genève,26.04.2017,1.0,8,Purchase,0.0
667,Galenica Santé AG,26.04.2017,55897.0,1285,Purchase,0.1
668,Hochdorf Holding AG,26.04.2017,30024.0,100,Sale,0.0
669,Interroll Holding AG,26.04.2017,567500.0,500,Sale,0.6
670,Novartis AG,26.04.2017,997430.0,13211,Sale,1.0
671,Schindler Holding AG,26.04.2017,880076.0,4350,Sale,0.9
672,Sika AG,26.04.2017,745170.0,118,Sale,0.7
673,ams AG,26.04.2017,82875.0,8500,Purchase,0.1
674,nebag ag,26.04.2017,10650.0,1000,Purchase,0.0
675,Airesis SA,25.04.2017,7937.0,6675,Purchase,0.0
676,Bâloise Holding AG,25.04.2017,363619.0,2500,Sale,0.4
677,INFICON Holding AG,25.04.2017,193115.0,900,Sale,0.2
678,Komax Holding AG,25.04.2017,776250.0,3000,Purchase,0.8
679,Straumann Holding AG,25.04.2017,499247.0,1025,Sale,0.5
680,Straumann Holding AG,25.04.2017,112026.0,230,Sale,0.1
681,Varia US Properties AG,25.04.2017,13475.0,350,Sale,0.0
682,ams AG,25.04.2017,1318258.0,29165,Sale,1.3
683,ams AG,25.04.2017,556700.0,45000,Purchase,0.6
684,Airesis SA,24.04.2017,5384.0,4450,Purchase,0.0
685,Bâloise Holding AG,24.04.2017,142200.0,1000,Sale,0.1
686,Julius Bär Gruppe AG,24.04.2017,462650.0,9253,Sale,0.5
687,Luzerner Kantonalbank,24.04.2017,34225.0,80,Sale,0.0
688,SGS SA,24.04.2017,72000.0,30000,Sale,0.1
689,Temenos Group AG,24.04.2017,13700464.0,167939,Sale,13.7
690,Temenos Group AG,24.04.2017,5797185.0,71061,Sale,5.8
691,nebag ag,24.04.2017,33437.0,3125,Sale,0.0
692,u-blox Holding AG,24.04.2017,85555.0,1443,Purchase,0.1
693,Altin AG,21.04.2017,35180.0,1500,Purchase,0.0
694,Edmond de Rothschild (Suisse) S.A.,21.04.2017,2402500.0,155,Purchase,2.4
695,Molecular Partners Ltd,21.04.2017,2800000.0,100000,Sale,2.8
696,St. Galler Kantonalbank,21.04.2017,36200.0,500,Sale,0.0
697,Temenos Group AG,21.04.2017,1157621.0,14458,Sale,1.2
698,Bellevue Group AG,20.04.2017,20592.0,1250,Purchase,0.0
699,Bâloise Holding AG,20.04.2017,383588.0,2746,Sale,0.4
700,SGS SA,20.04.2017,22500.0,10000,Sale,0.0
701,nebag ag,20.04.2017,42.0,4,Sale,0.0
702,Gurit Holding AG,19.04.2017,42500.0,50,Sale,0.0
703,Orascom Development Holding AG,19.04.2017,16577.0,3000,Sale,0.0
704,St. Galler Kantonalbank,19.04.2017,59004.0,140,Sale,0.1
705,nebag ag,19.04.2017,6420.0,600,Sale,0.0
706,Burkhalter Holding AG,18.04.2017,19261.0,125,Sale,0.0
707,Logitech International S.A.,18.04.2017,7354770.0,236280,Purchase,7.4
708,Logitech International S.A.,18.04.2017,1120771.0,36006,Purchase,1.1
709,Logitech International S.A.,18.04.2017,648258.0,20826,Purchase,0.6
710,Sika AG,18.04.2017,353460.0,57,Sale,0.4
711,The Swatch Group AG,18.04.2017,432000.0,6000,Sale,0.4
712,mobilezone holding ag,18.04.2017,1505000.0,100000,Sale,1.5
714,Sika AG,14.04.2017,1446135.0,229,Sale,1.4
715,Actelion Ltd,13.04.2017,147576.0,520,Sale,0.1
716,Banque Cantonale de Genève,13.04.2017,1.0,8,Purchase,0.0
717,Banque Cantonale de Genève,13.04.2017,1.0,8,Purchase,0.0
718,Banque Cantonale de Genève,13.04.2017,1.0,8,Purchase,0.0
719,Banque Cantonale de Genève,13.04.2017,1.0,8,Purchase,0.0
720,Banque Cantonale de Genève,13.04.2017,1.0,8,Purchase,0.0
721,Banque Cantonale de Genève,13.04.2017,1.0,8,Purchase,0.0
722,Burkhalter Holding AG,13.04.2017,2850000.0,19000,Sale,2.8
723,Chocoladefabriken Lindt & Sprüngli AG,13.04.2017,563500.0,100,Sale,0.6
724,Hypothekarbank Lenzburg,13.04.2017,313051.0,70,Sale,0.3
726,Partners Group Holding AG,13.04.2017,3467000.0,6000,Sale,3.5
727,mobilezone holding ag,13.04.2017,504536.0,33524,Sale,0.5
728,Altin AG,12.04.2017,15240.0,652,Purchase,0.0
729,EFG International,12.04.2017,5145.0,852,Sale,0.0
730,Edisun Power Europe AG,12.04.2017,4347.0,89,Purchase,0.0
731,Hügli Holding AG,12.04.2017,55664.0,70,Sale,0.1
732,Luzerner Kantonalbank,12.04.2017,34145.0,80,Sale,0.0
733,Sunrise Communications Group AG,12.04.2017,49902.0,658,Purchase,0.0
734,Sunrise Communications Group AG,12.04.2017,49902.0,658,Purchase,0.0
735,Sunrise Communications Group AG,12.04.2017,49902.0,658,Purchase,0.0
736,Sunrise Communications Group AG,12.04.2017,49902.0,658,Purchase,0.0
737,mobilezone holding ag,12.04.2017,732544.0,48674,Sale,0.7
738,Bossard Holding AG,11.04.2017,175260.0,1200,Purchase,0.2
739,Bossard Holding AG,11.04.2017,116840.0,800,Purchase,0.1
740,Bossard Holding AG,11.04.2017,99314.0,680,Purchase,0.1
741,Bossard Holding AG,11.04.2017,59880.0,410,Purchase,0.1
742,Bossard Holding AG,11.04.2017,55791.0,382,Purchase,0.1
743,Bossard Holding AG,11.04.2017,36512.0,250,Purchase,0.0
744,COLTENE Holding AG,11.04.2017,15163.0,181,Sale,0.0
745,Galenica Santé AG,11.04.2017,24765.0,635,Purchase,0.0
748,Sika AG,11.04.2017,239020.0,38,Purchase,0.2
749,Sika AG,11.04.2017,81770.0,13,Purchase,0.1
750,St. Galler Kantonalbank,11.04.2017,34850.0,500,Sale,0.0
751,mobilezone holding ag,11.04.2017,105032.0,6969,Sale,0.1
752,nebag ag,11.04.2017,13727.0,1295,Sale,0.0
753,COLTENE Holding AG,10.04.2017,26460.0,319,Sale,0.0
754,Helvetia Holding AG,10.04.2017,5490.0,10,Sale,0.0
755,Helvetia Holding AG,10.04.2017,202581.0,369,Purchase,0.2
757,Partners Group Holding AG,10.04.2017,281050.0,500,Sale,0.3
758,Vontobel Holding AG,10.04.2017,765639.0,13560,Sale,0.8
759,Bachem Holding AG,07.04.2017,143787.0,1230,Sale,0.1
760,Forbo Holding AG,07.04.2017,305034.0,225,Purchase,0.3
761,Forbo Holding AG,07.04.2017,124725.0,92,Purchase,0.1
762,Galenica Santé AG,07.04.2017,3120.0,80,Purchase,0.0
763,Helvetia Holding AG,07.04.2017,94520.0,200,Purchase,0.1
764,Helvetia Holding AG,07.04.2017,94520.0,200,Purchase,0.1
765,Helvetia Holding AG,07.04.2017,94520.0,200,Purchase,0.1
766,Komax Holding AG,07.04.2017,113220.0,444,Sale,0.1
767,Partners Group Holding AG,07.04.2017,2880000.0,5000,Sale,2.9
768,SGS SA,07.04.2017,20100.0,10000,Sale,0.0
769,Swiss Re AG,07.04.2017,427904.0,4773,Sale,0.4
770,VZ Holding AG,07.04.2017,49990.0,166,Purchase,0.0
771,VZ Holding AG,07.04.2017,41257.0,137,Purchase,0.0
772,VZ Holding AG,07.04.2017,34933.0,116,Purchase,0.0
773,VZ Holding AG,07.04.2017,32524.0,108,Purchase,0.0
774,VZ Holding AG,07.04.2017,24995.0,83,Purchase,0.0
775,Vontobel Holding AG,07.04.2017,562035.0,10000,Sale,0.6
776,mobilezone holding ag,07.04.2017,171687.0,10832,Sale,0.2
777,Komax Holding AG,06.04.2017,142336.0,556,Sale,0.1
778,Partners Group Holding AG,06.04.2017,557000.0,1000,Sale,0.6
779,mobilezone holding ag,06.04.2017,568536.0,35757,Sale,0.6
780,mobilezone holding ag,06.04.2017,317000.0,20000,Sale,0.3
781,Helvetia Holding AG,05.04.2017,164922.0,300,Sale,0.2
782,Hochdorf Holding AG,05.04.2017,9640.0,32,Sale,0.0
783,Kühne + Nagel International AG,05.04.2017,45641.0,4376,Sale,0.0
784,Molecular Partners Ltd,05.04.2017,24221610.0,1076516,Sale,24.2
