,Company,Date,Price,Share Total,Type,Price_m
89,Kühne + Nagel International AG,25.09.2017,2658977.0,14740,Sale,2.7
90,Straumann Holding AG,25.09.2017,126000.0,200,Sale,0.1
91,Zuger Kantonalbank AG,25.09.2017,73065.0,14,Sale,0.1
92,COLTENE Holding AG,22.09.2017,23125.0,250,Purchase,0.0
93,Hypothekarbank Lenzburg AG,22.09.2017,13440.0,3,Sale,0.0
94,Kühne + Nagel International AG,22.09.2017,947878.0,5260,Sale,0.9
95,Vontobel Holding AG,22.09.2017,4917.0,78,Sale,0.0
96,Bellevue Group AG,21.09.2017,112995.0,5022,Sale,0.1
97,Galenica AG,21.09.2017,2512.0,80,Purchase,0.0
98,Galenica AG,21.09.2017,2512.0,80,Purchase,0.0
99,Hypothekarbank Lenzburg AG,21.09.2017,40320.0,9,Sale,0.0
100,Kühne + Nagel International AG,21.09.2017,900000.0,5000,Sale,0.9
101,Vontobel Holding AG,21.09.2017,315500.0,5000,Sale,0.3
102,Bucher Industries AG,20.09.2017,1091031.0,3125,Sale,1.1
103,Hypothekarbank Lenzburg AG,20.09.2017,76160.0,17,Sale,0.1
104,LEM Holding SA,20.09.2017,54153.0,43,Purchase,0.1
105,Vontobel Holding AG,20.09.2017,253336.0,4000,Sale,0.3
106,Komax Holding AG,19.09.2017,120120.0,440,Sale,0.1
107,Santhera Pharmaceuticals Holding AG,19.09.2017,150878.0,4000,Sale,0.2
108,VZ Holding AG,19.09.2017,109530.0,600,Sale,0.1
109,Vontobel Holding AG,19.09.2017,110681.0,1743,Sale,0.1
110,Ascom Holding AG,18.09.2017,176640.0,9200,Purchase,0.2
111,Interroll Holding AG,18.09.2017,50000.0,39,Purchase,0.0
112,Komax Holding AG,18.09.2017,113820.0,420,Sale,0.1
113,Tornos Holding AG,18.09.2017,16295.0,2858,Sale,0.0
114,Bossard Holding AG,15.09.2017,340450.0,1572,Sale,0.3
115,Investis Holding SA,15.09.2017,84976.0,1504,Purchase,0.1
116,RELIEF THERAPEUTICS Holding AG,15.09.2017,283.0,28300,Sale,0.0
117,Santhera Pharmaceuticals Holding AG,15.09.2017,50000.0,1250,Purchase,0.0
118,Swiss Life Holding AG,15.09.2017,670664.0,2000,Sale,0.7
119,Varia US Properties AG,15.09.2017,19300.0,500,Purchase,0.0
120,Von Roll Holding AG,15.09.2017,2646000.0,1800000,Sale,2.6
121,Julius Bär Gruppe AG,14.09.2017,1649000.0,30000,Sale,1.6
122,VZ Holding AG,14.09.2017,297.0,1,Sale,0.0
123,Vontobel Holding AG,14.09.2017,248114.0,4000,Sale,0.2
124,Komax Holding AG,13.09.2017,136000.0,500,Sale,0.1
125,Partners Group Holding AG,13.09.2017,1239215.0,2748,Sale,1.2
126,VZ Holding AG,13.09.2017,99288.0,336,Sale,0.1
127,Vontobel Holding AG,13.09.2017,123500.0,2000,Sale,0.1
128,Edisun Power Europe AG,12.09.2017,10500.0,250,Purchase,0.0
129,Hypothekarbank Lenzburg AG,12.09.2017,53760.0,12,Sale,0.1
130,Leonteq AG,12.09.2017,33889.0,584,Sale,0.0
131,Molecular Partners Ltd,12.09.2017,964964.0,37114,Sale,1.0
132,Molecular Partners Ltd,12.09.2017,178747.0,77380,Purchase,0.2
133,Molecular Partners Ltd,12.09.2017,115199.0,49870,Purchase,0.1
