,Antwort,Antwortdatum,Kategorie,Lat,Long,Meldedatum,Meldung,URL
18,"
Diese Reparatur wird von uns in den kommenden Wochenausgeführt.
","08:43, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.4052961226711,8.55894249563131,"14:20, 26. März 2013","<p>
Bei Schachtdeckel ist der Belag ausgebrochen</p>",https://www.zueriwieneu.ch/report/21
19,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","08:43, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3743894407865,8.54474152674907,"10:34, 27. März 2013","<p>
Pfosten in Rabatte umgefahren</p>",https://www.zueriwieneu.ch/report/22
20,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt. 
","08:44, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.371115759813,8.53861796819945,"10:42, 27. März 2013","<p>
Rampe abgesenkt, Wasserlache</p>",https://www.zueriwieneu.ch/report/23
21,"
Die Verantwortlichen konnten nicht identifiziert werden / ausfindig gemacht werden, da es sich um einPrivatgrundstück handelt. Ihre Meldung konnte nicht weitergeleitet werden. 
","08:45, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3873419815299,8.52383701542818,"08:22, 28. März 2013","<p>
Hier entsteht bei Regen eine grosse Wasserlache. Das Wasser kann nicht abfliessen.</p>",https://www.zueriwieneu.ch/report/24
22,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt. 
","08:47, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.392594,8.488067,"11:09, 28. März 2013","<p>
Schacht sinkt ein</p>",https://www.zueriwieneu.ch/report/25
23,"
Besten Dank für die Anfrage. Die Reparatur wird bis Freitag 05.04.2013 erledigt.
","14:10,  4. April 2013",In der Kategorie Spielplatz/Sitzbank gemeldet,47.3634325458984,8.54614171315812,"10:33,  2. April 2013","<p>
Sitzbank defekt</p>",https://www.zueriwieneu.ch/report/26
24,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","08:49, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3611452708001,8.52261509277276,"08:06,  3. April 2013","<p>
Defekter Belagsflick in Strasse</p>",https://www.zueriwieneu.ch/report/27
25,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","08:50, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3675155345196,8.49575693212922,"08:11,  3. April 2013","<p>
Pfosten im Trottoir umgedrückt</p>",https://www.zueriwieneu.ch/report/28
26,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","08:50, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3675058241054,8.49577775799705,"08:13,  3. April 2013","<p>
Schlagloch in der Strasse beim Fussgängerstreifen</p>",https://www.zueriwieneu.ch/report/29
27,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","08:51, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3650515668633,8.49462743571166,"08:15,  3. April 2013","<p>
Belagsloch im Fussweg</p>",https://www.zueriwieneu.ch/report/30
28,"
Diese Reparatur wird von uns in den kommenden Wochen ausgeführt.
","08:24, 12. April 2013",In der Kategorie Strasse/Trottoir/Platz gemeldet,47.3703597482818,8.52873664207112,"12:08,  3. April 2013","<p>
Die Stange ist verbogen. 20 Meter daneben hat es nochmals einen gleichen Fall.</p>",https://www.zueriwieneu.ch/report/31
